economy,current_account_gdp,fdi_net_inflows_gdp,external_debt_gni,total_reserves,inflation,gdp_growth,year
EGY,-3.70903990583373,1.52462948997172,35.5843178235706,38972812936.6708,5.04493288977539,3.55016483786838,2020
EGY,-4.38240299812,1.20617861055665,35.4130599251787,39824388217.3615,5.21404940513043,3.29064601202211,2021
EGY,-2.2100904275198,2.39118080969079,35.3832819125992,32143926008.4607,13.8956609775178,6.58784560886967,2022
EGY,-3.17338760075615,2.48546398363597,44.4212432479616,33070180836.1374,33.8847763115546,3.76028052279247,2023
ETH,-12.1838327178752,4.22926466080082,31.7812582331685,3835287576.46954,9.56889955968623,10.3924630141307,2015
ETH,-11.5449209376397,6.0502150951561,31.5941088728904,3030943950.63996,6.62813337230924,9.43348265981905,2016
ETH,-7.76343039992896,5.26039764214773,32.195990368417,3045571314.79781,10.6871150284238,9.56418965754014,2017
ETH,-5.53324917435326,4.03228222144798,35.572601682596,3987464165.90059,13.8330356586661,6.81614778557282,2018
ETH,-5.47194445075559,2.77536541541531,31.8677861051946,2992704274.84051,15.8096321719344,8.36408573314054,2019
ETH,-2.75526110015443,2.42792592797614,30.2340278652052,3046114358.80765,20.3563468559061,6.05953089054807,2020
ETH,-4.13241831245632,3.90520609771909,28.9101982304795,1644005887.02273,26.8395221557722,5.64153069257077,2021
ETH,-4.19066632559079,2.9803331590978,24.2638688064282,1191712941.06266,33.8898797100898,5.32175988403378,2022
ETH,-3.52359702028074,2.40146315358044,,2028214254.61106,30.2188278135278,6.59424599357075,2023
FRA,-0.334528437032909,1.76596182973896,,138198984338.294,0.0375143805125182,1.06675474783462,2015
FRA,-0.538632351885891,1.44200321416196,,145866068770.183,0.18333486112386,0.860031075424033,2016
FRA,-0.474615185215668,1.68928072199317,,156322431109.247,1.03228275064662,2.08361485997399,2017
FRA,-0.735670615255371,2.78594184568695,,166483400196.79,1.85081508315502,1.64590872395887,2018
FRA,0.587362764575747,1.96486943301562,,189006435295.488,1.10825492288294,2.02744646419237,2019
FRA,-2.00313613657686,0.731471704018579,,224236417867.711,0.476498852725066,-7.44064589948231,2020
FRA,0.244238511780542,3.30405312221271,,244280333397.895,1.64233141038385,6.88233783360239,2021
